ID type condition trial sound_dist concept_dist item sameDiff answer correct native gender age
subject_7 Test 1 2 different similar bug NA 1 0 other M 4
subject_7 Test 5 1 maximal different bird NA 0 0 other M 4
subject_7 Test 5 1 maximal different bird NA 0 0 other M 4
subject_7 Test 5 1 maximal different bird NA 0 0 other M 4
subject_7 Test 5 1 maximal different bird NA 0 0 other M 4
subject_7 Test 5 2 maximal different bird NA 1 1 other M 4
subject_7 Test 5 2 maximal different bird NA 0 0 other M 4
subject_7 Test 5 2 maximal different bird NA 1 1 other M 4
subject_7 Test 5 2 maximal different bird NA 0 0 other M 4
subject_7 Test 0 1 similar similar bird NA 0 1 other M 4
subject_7 Test 0 1 similar similar bird NA 1 0 other M 4
subject_7 Test 0 1 similar similar bird NA 0 1 other M 4
subject_7 Test 0 1 similar similar bird NA 0 0 other M 4
subject_7 Test 0 2 similar similar bird NA 0 1 other M 4
subject_7 Test 0 2 similar similar bird NA 1 0 other M 4
subject_7 Test 0 2 similar similar bird NA 0 0 other M 4
subject_7 Test 0 2 similar similar bird NA 1 1 other M 4
subject_7 Test 2 1 maximal similar fish NA 0 0 other M 4
subject_7 Test 2 1 maximal similar fish NA 1 0 other M 4
subject_7 Test 2 1 maximal similar fish NA 1 1 other M 4
subject_7 Test 2 1 maximal similar fish NA 1 1 other M 4
subject_7 Test 2 2 maximal similar fish NA 1 1 other M 4
subject_7 Test 2 2 maximal similar fish NA 1 1 other M 4
subject_7 Test 2 2 maximal similar fish NA 1 1 other M 4
subject_7 Test 2 2 maximal similar fish NA 1 1 other M 4
subject_7 Test 4 1 different different fish NA 1 1 other M 4
subject_7 Test 4 1 different different fish NA 0 0 other M 4
subject_7 Test 4 1 different different fish NA 1 1 other M 4
subject_7 Test 4 1 different different fish NA 0 0 other M 4
subject_7 Test 4 2 different different fish NA 0 0 other M 4
subject_7 Test 4 2 different different fish NA 1 1 other M 4
subject_7 Test 4 2 different different fish NA 1 0 other M 4
subject_7 Test 4 2 different different fish NA 0 1 other M 4
subject_7 Test 3 1 similar different flower NA 0 0 other M 4
subject_7 Test 3 1 similar different flower NA 0 1 other M 4
subject_7 Test 3 1 similar different flower NA 1 0 other M 4
subject_7 Test 3 1 similar different flower NA 1 1 other M 4
subject_7 Test 3 2 similar different flower NA 0 0 other M 4
subject_7 Test 3 2 similar different flower NA 1 0 other M 4
subject_7 Test 3 2 similar different flower NA 1 0 other M 4
subject_7 Test 3 2 similar different flower NA 0 0 other M 4
subject_8 Test_pre joint NA NA NA  NA 1 NA other F 4
subject_8 Test_pre joint NA NA NA  NA 0 NA other F 4
subject_8 Test 2 1 maximal similar bug NA 0 0 other F 4
subject_8 Test 2 1 maximal similar bug NA 1 0 other F 4
subject_8 Test 2 1 maximal similar bug NA 0 1 other F 4
subject_8 Test 2 1 maximal similar bug NA 1 1 other F 4
subject_8 Test 2 2 maximal similar bug NA 1 1 other F 4
subject_8 Test 2 2 maximal similar bug NA 1 1 other F 4
subject_8 Test 2 2 maximal similar bug NA 1 1 other F 4
subject_8 Test 2 2 maximal similar bug NA 1 1 other F 4
subject_8 Test 0 1 similar similar fish NA 1 1 other F 4
subject_8 Test 0 1 similar similar fish NA 1 1 other F 4
subject_8 Test 0 1 similar similar fish NA 0 0 other F 4
subject_8 Test 0 1 similar similar fish NA 0 0 other F 4
subject_8 Test 0 2 similar similar fish NA 0 0 other F 4
subject_8 Test 0 2 similar similar fish NA 0 0 other F 4
subject_8 Test 0 2 similar similar fish NA 1 1 other F 4
subject_8 Test 0 2 similar similar fish NA 1 1 other F 4
subject_8 Test 3 1 similar different bird NA 0 0 other F 4
subject_8 Test 3 1 similar different bird NA 0 0 other F 4
subject_8 Test 3 1 similar different bird NA 0 0 other F 4
subject_8 Test 3 1 similar different bird NA 1 0 other F 4
subject_8 Test 3 2 similar different bird NA 0 0 other F 4
subject_8 Test 3 2 similar different bird NA 0 0 other F 4
subject_8 Test 3 2 similar different bird NA 1 1 other F 4
subject_8 Test 3 2 similar different bird NA 1 1 other F 4
subject_8 Test 5 1 maximal different fish NA 0 1 other F 4
subject_8 Test 5 1 maximal different fish NA 1 0 other F 4
subject_8 Test 5 1 maximal different fish NA 0 1 other F 4
subject_8 Test 5 1 maximal different fish NA 1 0 other F 4
subject_8 Test 5 2 maximal different fish NA 1 0 other F 4
subject_8 Test 5 2 maximal different fish NA 1 0 other F 4
subject_8 Test 5 2 maximal different fish NA 0 1 other F 4
subject_8 Test 5 2 maximal different fish NA 1 1 other F 4
subject_8 Test 1 1 different similar flower NA 0 0 other F 4
subject_8 Test 1 1 different similar flower NA 0 0 other F 4
subject_8 Test 1 1 different similar flower NA 1 1 other F 4
subject_8 Test 1 1 different similar flower NA 1 1 other F 4
subject_8 Test 1 2 different similar flower NA 0 1 other F 4
subject_8 Test 1 2 different similar flower NA 0 0 other F 4
subject_8 Test 1 2 different similar flower NA 1 1 other F 4
subject_8 Test 1 2 different similar flower NA 0 0 other F 4
subject_8 Test 4 1 different different bug NA 1 1 other F 4
subject_8 Test 4 1 different different bug NA 0 0 other F 4
subject_8 Test 4 1 different different bug NA 0 1 other F 4
subject_8 Test 4 1 different different bug NA 1 0 other F 4
subject_8 Test 4 2 different different bug NA 1 1 other F 4
subject_8 Test 4 2 different different bug NA 1 0 other F 4
subject_8 Test 4 2 different different bug NA 0 0 other F 4
subject_8 Test 4 2 different different bug NA 0 1 other F 4
subject_9 Test_pre joint NA NA NA  NA 0 NA other M 3
subject_9 Test_pre joint NA NA NA  NA 1 NA other M 3
subject_9 Test 1 1 different similar flower NA 0 0 other M 3
subject_9 Test 1 1 different similar flower NA 1 1 other M 3
subject_9 Test 1 1 different similar flower NA 0 1 other M 3
subject_9 Test 1 1 different similar flower NA 1 0 other M 3
subject_9 Test 1 2 different similar flower NA 0 0 other M 3
subject_9 Test 1 2 different similar flower NA 0 0 other M 3
subject_9 Test 1 2 different similar flower NA 1 0 other M 3
subject_9 Test 1 2 different similar flower NA 0 0 other M 3
subject_9 Test 4 1 different different fish NA 1 0 other M 3
subject_9 Test 4 1 different different fish NA 1 0 other M 3
subject_9 Test 4 1 different different fish NA 1 0 other M 3
subject_9 Test 4 1 different different fish NA 0 0 other M 3
subject_9 Test 4 2 different different fish NA 0 0 other M 3
subject_9 Test 4 2 different different fish NA 1 1 other M 3
subject_9 Test 4 2 different different fish NA 0 1 other M 3
subject_9 Test 4 2 different different fish NA 1 0 other M 3
subject_9 Test 0 1 similar similar bug NA 1 1 other M 3
subject_9 Test 0 1 similar similar bug NA 1 0 other M 3
subject_9 Test 0 1 similar similar bug NA 0 1 other M 3
subject_9 Test 0 1 similar similar bug NA 1 0 other M 3
subject_9 Test 0 2 similar similar bug NA 0 1 other M 3
subject_9 Test 0 2 similar similar bug NA 1 0 other M 3
subject_9 Test 0 2 similar similar bug NA 0 0 other M 3
subject_9 Test 0 2 similar similar bug NA 1 1 other M 3
subject_9 Test 5 1 maximal different bug NA 1 1 other M 3
subject_9 Test 5 1 maximal different bug NA 1 1 other M 3
subject_9 Test 5 1 maximal different bug NA 0 0 other M 3
subject_9 Test 5 1 maximal different bug NA 0 0 other M 3
subject_9 Test 5 2 maximal different bug NA 0 0 other M 3
subject_9 Test 5 2 maximal different bug NA 0 0 other M 3
subject_9 Test 5 2 maximal different bug NA 0 0 other M 3
subject_9 Test 5 2 maximal different bug NA 0 0 other M 3
subject_9 Test 3 1 similar different bird NA 0 1 other M 3
subject_9 Test 3 1 similar different bird NA 0 1 other M 3
subject_9 Test 3 1 similar different bird NA 1 0 other M 3
subject_9 Test 3 1 similar different bird NA 1 0 other M 3
subject_9 Test 3 2 similar different bird NA 1 0 other M 3
subject_9 Test 3 2 similar different bird NA 1 0 other M 3
subject_9 Test 3 2 similar different bird NA 1 0 other M 3
subject_9 Test 3 2 similar different bird NA 1 0 other M 3
subject_9 Test 2 1 maximal similar fish NA 0 0 other M 3
subject_9 Test 2 1 maximal similar fish NA 0 0 other M 3
subject_9 Test 2 1 maximal similar fish NA 1 1 other M 3
subject_9 Test 2 1 maximal similar fish NA 1 1 other M 3
subject_9 Test 2 2 maximal similar fish NA 1 1 other M 3
subject_9 Test 2 2 maximal similar fish NA 0 0 other M 3
subject_9 Test 2 2 maximal similar fish NA 0 0 other M 3
subject_9 Test 2 2 maximal similar fish NA 1 1 other M 3
subject_10 Test_pre joint NA NA NA  NA 0 NA other F 5
subject_10 Test_pre joint NA NA NA  NA 0 NA other F 5
subject_10 Test 5 1 maximal different flower NA 1 1 other F 5
subject_10 Test 5 1 maximal different flower NA 0 0 other F 5
subject_10 Test 5 1 maximal different flower NA 1 1 other F 5
subject_10 Test 5 1 maximal different flower NA 0 0 other F 5
subject_10 Test 5 2 maximal different flower NA 1 1 other F 5
subject_10 Test 5 2 maximal different flower NA 0 0 other F 5
subject_10 Test 5 2 maximal different flower NA 0 0 other F 5
subject_10 Test 5 2 maximal different flower NA 1 1 other F 5
subject_10 Test 3 1 similar different bug NA 1 1 other F 5
subject_10 Test 3 1 similar different bug NA 1 1 other F 5
subject_10 Test 3 1 similar different bug NA 1 1 other F 5
subject_10 Test 3 1 similar different bug NA 0 1 other F 5
subject_10 Test 3 2 similar different bug NA 0 0 other F 5
subject_10 Test 3 2 similar different bug NA 0 0 other F 5
subject_10 Test 3 2 similar different bug NA 0 0 other F 5
